"","species","model","edf","dev.expl","r.sq"
"1","fox","1_spatial",772.646925140371,0.351377272596969,0.11697997508485
"2","fox","2_vegetation_type",766.105446130714,0.349826479595462,0.115453919613258
"3","fox","3_habitat_type",768.269219325809,0.348706051769348,0.113899295555711
"4","cat","1_spatial",562.923559688416,0.231408109053588,0.0771739460799217
"5","cat","2_vegetation_type",566.756235838115,0.230049767458646,0.0768895538822313
"6","cat","3_fox_by_habitat_type",587.949085923115,0.232199065756785,0.0788784358163843
