"","species","model","edf","dev.expl","r.sq"
"1","fox","1_spatial",98.0605360178557,0.0657394676086786,0.0137310697748335
"2","fox","2_vegetation_type",752.966979257725,0.349644534764511,0.115543557798916
"3","fox","3_habitat_type",757.146691822555,0.348616527637715,0.113782746645813
"4","cat","1_spatial",78.4323266637053,0.110966029115236,0.0366740229321983
"5","cat","2_vegetation_type",566.773451518994,0.23005437871043,0.0768940850577199
"6","cat","3_fox_by_habitat_type",585.858030784339,0.231662195931654,0.0778955294201337
